S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Trades and technical,"High school diploma, equivalent, or less",75000,More important than salary,More important than salary,Less important than salary,Less important than salary,Less important than salary,Less important than salary,Associate's degree,0.392,Diploma,Rural,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,275.424130632877
Healthcare,Bachelor's degree,50000,Equally important,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Bachelor's degree,0.5045,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,33.4158911251152
Don't Know,Bachelor's degree,75000,Equally important,More important than salary,Equally important,Less important than salary,Less important than salary,Equally important,Associate's degree,0.2403,Diploma,Suburb,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed full-time,218.845212289886
Don't Know,More than a bachelor's degree,40000,More important than salary,Equally important,More important than salary,Equally important,Equally important,Less important than salary,Less than high school,-0.7455,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,133.051938698788
Don't Know,Associate's degree,80000,More important than salary,Equally important,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",-1.1935,No HS credential,City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,557.579674050492
Other,Bachelor's degree,90000,More important than salary,More important than salary,Equally important,Less important than salary,Equally important,Equally important,Bachelor's degree,0.7649,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,106.20784165887
Don't Know,Don't know,80000,Less important than salary,Equally important,Less important than salary,More important than salary,Equally important,Less important than salary,Bachelor's degree,0.1856,Diploma,Suburb,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,221.177397673821
Don't Know,Bachelor's degree,75000,Equally important,More important than salary,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.2178,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,394.328429675623
Business and Management,Bachelor's degree,80000,Equally important,More important than salary,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,1.2921,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,516.772619472535
Don't Know,Associate's degree,60000,More important than salary,Equally important,Less important than salary,Equally important,Equally important,More important than salary,Bachelor's degree,0.3903,Diploma,Suburb,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,359.188750773817
Other,Some college,60000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.5485,Diploma,Suburb,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,448.667446533407
STEM,Bachelor's degree,90000,Equally important,Equally important,More important than salary,Equally important,Less important than salary,More important than salary,"High school diploma, equivalent, or less",-0.3636,Diploma,Suburb,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and not in the labor force,287.988149026708
Healthcare,Bachelor's degree,50000,Equally important,Equally important,More important than salary,More important than salary,Equally important,Less important than salary,More than a bachelor's degree,0.8309,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,173.218927517667
Healthcare,Don't know,30000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.5156,Diploma,Rural,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,779.936006424133
Don't Know,Bachelor's degree,75000,More important than salary,More important than salary,Equally important,More important than salary,Less important than salary,More important than salary,"High school diploma, equivalent, or less",-0.5262,Diploma,Town,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,237.040633495144
Education,More than a bachelor's degree,75000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,1.1427,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,87.084333608941
Business and Management,More than a bachelor's degree,100000,More important than salary,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Some college,-0.2701,Diploma,Town,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,107.973964782979
Business and Management,Bachelor's degree,60000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,Less than high school,-1.0834,Diploma,City,West,Attained certificate,Enrolled in postsecondary education and unemployed,332.121776305347
Service,More than a bachelor's degree,45000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More than a bachelor's degree,2.061,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,67.6435860475437
Healthcare,Bachelor's degree,40000,More important than salary,Equally important,Equally important,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.2195,Diploma,Rural,South,Attained certificate,Not enrolled in postsecondary education and employed part-time,217.888202347413
Arts and entertainment,Bachelor's degree,40000,Equally important,Less important than salary,More important than salary,Equally important,Less important than salary,Equally important,More than a bachelor's degree,1.5989,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,54.0600461486452
Arts and entertainment,Bachelor's degree,80000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,More than a bachelor's degree,0.8601,Diploma,Town,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,18.6845171583837
Don't Know,Bachelor's degree,85000,Equally important,More important than salary,Equally important,Equally important,Equally important,Less important than salary,More than a bachelor's degree,0.851,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,508.116297770971
Business and Management,Bachelor's degree,75000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,More than a bachelor's degree,1.1449,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,257.901526661786
Don't Know,More than a bachelor's degree,150000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.6786,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,281.23410621796
Healthcare,More than a bachelor's degree,90000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.0952,Diploma,City,South,Attained associate's degree,Not enrolled in postsecondary education and employed full-time,96.381313086689
Don't Know,More than a bachelor's degree,35000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,Bachelor's degree,1.1314,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,279.407930783926
Don't Know,More than a bachelor's degree,70000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Bachelor's degree,1.2509,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,66.053928932767107
Healthcare,More than a bachelor's degree,100000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,More important than salary,Associate's degree,0.0057,Diploma,City,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,326.643731782681
Business and Management,Some college,30000,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Less important than salary,More than a bachelor's degree,0.1631,Diploma,City,Midwest,Attained certificate,Not enrolled in postsecondary education and employed full-time,455.90800763919
Other,More than a bachelor's degree,100000,Equally important,Equally important,Equally important,Less important than salary,Equally important,Equally important,Bachelor's degree,1.3445,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,104.454288350839
Healthcare,Bachelor's degree,80000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Bachelor's degree,0.0964,Diploma,City,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,77.5655641087736
Don't Know,Some college,50000,More important than salary,Equally important,Equally important,Equally important,Equally important,Less important than salary,Less than high school,-0.9253,Diploma,City,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,582.902658668877
Don't Know,More than a bachelor's degree,65000,Equally important,More important than salary,Equally important,Equally important,Less important than salary,Equally important,Bachelor's degree,-0.2206,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,171.176301102841
Trades and technical,Associate's degree,70000,More important than salary,Less important than salary,Equally important,Less important than salary,Less important than salary,Equally important,More than a bachelor's degree,0.0024,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,128.819092602127
STEM,More than a bachelor's degree,65000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,More than a bachelor's degree,1.2206,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,579.403260523827
Healthcare,Don't know,10000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.9733,Diploma,Suburb,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,561.360249019001
Don't Know,Bachelor's degree,90000,Equally important,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,Bachelor's degree,0.2895,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,202.123078050679
Don't Know,Bachelor's degree,80000,Equally important,Less important than salary,Equally important,Equally important,Equally important,Less important than salary,Associate's degree,0.1502,Diploma,City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,482.932924395851
Don't Know,"High school diploma, equivalent, or less",10000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.5634,Diploma,Town,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,594.257026882261
Don't Know,Some college,90000,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Less important than salary,More than a bachelor's degree,1.1081,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,8.91567554962018
Other,More than a bachelor's degree,45000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.9516,Diploma,Rural,Northeast,Attained certificate,Not enrolled in postsecondary education and employed full-time,482.83754839858
Other,More than a bachelor's degree,100000,Equally important,Less important than salary,More important than salary,Equally important,Less important than salary,Less important than salary,More than a bachelor's degree,1.7901,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,68.4526420689084
Business and Management,Bachelor's degree,40000,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.7477,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,182.516583391971
Other,More than a bachelor's degree,30000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-1.2263,Diploma,City,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and unemployed,2004.66937142669
Military and protective services,Bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Bachelor's degree,-0.0141,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,257.179268513965
Don't Know,Don't know,30000,Equally important,Equally important,Equally important,More important than salary,Less important than salary,Less important than salary,Bachelor's degree,-0.073,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,340.146535518822
Military and protective services,Some college,60000,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Equally important,Bachelor's degree,0.3804,Diploma,Rural,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,473.484636233392
Other,More than a bachelor's degree,200000,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,More important than salary,More than a bachelor's degree,1.7093,Diploma,City,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,33.109591001005
Healthcare,More than a bachelor's degree,100000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,More than a bachelor's degree,1.6975,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,14.9763765035549
Arts and entertainment,Don't know,20000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Some college,-0.0755,"GED, other HS equivalency, or certificate of attendance",Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,242.090772136221
Arts and entertainment,Don't know,100000,Less important than salary,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,More than a bachelor's degree,1.203,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,550.449315227857
Education,More than a bachelor's degree,30000,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-1.0685,Diploma,Town,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,253.261983866492
Arts and entertainment,More than a bachelor's degree,60000,Equally important,Equally important,More important than salary,Less important than salary,Equally important,Equally important,Some college,-0.4886,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,308.977375170499
Arts and entertainment,Bachelor's degree,30000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",0.3407,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,334.873586136177
Don't Know,Associate's degree,5000,More important than salary,Equally important,Less important than salary,Less important than salary,Equally important,Less important than salary,Some college,-1.0386,Diploma,Rural,Midwest,Attained certificate,Not enrolled in postsecondary education and employed part-time,74.8004808461319
Business and Management,Bachelor's degree,250000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,-0.2894,Diploma,Rural,South,Attained associate's degree,Enrolled in postsecondary education and not in the labor force,182.761342317158
Business and Management,Bachelor's degree,60000,Less important than salary,More important than salary,Less important than salary,More important than salary,Equally important,Less important than salary,"High school diploma, equivalent, or less",0.0338,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,374.444083015963
STEM,Bachelor's degree,100000,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,More important than salary,"High school diploma, equivalent, or less",0.6045,Diploma,Town,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,562.265765721851
Military and protective services,More than a bachelor's degree,75000,More important than salary,Equally important,More important than salary,Less important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.344,Diploma,Rural,South,Attained associate's degree,Enrolled in postsecondary education and employed full-time,447.227098854768
Healthcare,More than a bachelor's degree,95000,Equally important,More important than salary,Less important than salary,Less important than salary,Equally important,Less important than salary,More than a bachelor's degree,1.5184,Diploma,Rural,Midwest,Attained associate's degree,Enrolled in postsecondary education and not in the labor force,635.378407158756
Don't Know,More than a bachelor's degree,75000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Bachelor's degree,0.5879,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,213.768955487227
Education,Bachelor's degree,50000,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-1.5373000000000001,Diploma,Town,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,176.165308193613
Don't Know,More than a bachelor's degree,70000,Equally important,More important than salary,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.4285,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,98.9715104132403
Don't Know,More than a bachelor's degree,70000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,More than a bachelor's degree,1.57,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,553.234140559796
Healthcare,Don't know,40000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Some college,-0.6083,"GED, other HS equivalency, or certificate of attendance",Town,Midwest,Attained certificate,Not enrolled in postsecondary education and employed full-time,153.39805325756
Military and protective services,Bachelor's degree,40000,Equally important,Less important than salary,More important than salary,More important than salary,Less important than salary,Less important than salary,Associate's degree,-0.6109,Diploma,City,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,79.1204378368746
Don't Know,More than a bachelor's degree,70000,More important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,-0.3736,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,321.313959645498
Don't Know,Bachelor's degree,70000,Equally important,More important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,0.6521,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,171.026322074942
Don't Know,More than a bachelor's degree,50000,Equally important,Equally important,Equally important,Less important than salary,Equally important,Equally important,More than a bachelor's degree,1.5553,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,80.9767462611427
Service,Some college,75000,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Equally important,Bachelor's degree,0.7123,Diploma,Rural,South,Attained certificate,Not enrolled in postsecondary education and employed full-time,588.219889570118
Don't Know,Don't know,70000,Equally important,Less important than salary,Less important than salary,Equally important,Equally important,Less important than salary,More than a bachelor's degree,0.9356,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,636.794254855905
Education,Bachelor's degree,50000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.9488,Diploma,Town,Midwest,Attained associate's degree,Not enrolled in postsecondary education and employed full-time,820.501614650781
Business and Management,More than a bachelor's degree,100000,Equally important,Equally important,Equally important,More important than salary,Equally important,Equally important,Bachelor's degree,1.668,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,255.668191803103
Don't Know,Associate's degree,40000,Equally important,More important than salary,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.3198,Diploma,City,South,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,50.6469341566054
Business and Management,More than a bachelor's degree,85000,Equally important,Less important than salary,Less important than salary,Less important than salary,Equally important,Less important than salary,Bachelor's degree,0.4954,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,91.5970227893729
Education,Bachelor's degree,30000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More than a bachelor's degree,1.1204,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and not in the labor force,66.933240372669
Business and Management,Bachelor's degree,150000,More important than salary,More important than salary,Equally important,More important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.4987,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,309.702318490162
Don't Know,More than a bachelor's degree,80000,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,1.4442,Diploma,Town,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,967.371253026012
Don't Know,More than a bachelor's degree,50000,Equally important,Equally important,More important than salary,Less important than salary,More important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.6286,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,26.4554194366586
Other,"High school diploma, equivalent, or less",40000,Equally important,More important than salary,Equally important,Less important than salary,Equally important,Equally important,Less than high school,-0.6036,No HS credential,City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,349.154024075403
STEM,Bachelor's degree,100000,Equally important,More important than salary,Equally important,Equally important,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.3494,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,214.929962275916
Business and Management,More than a bachelor's degree,65000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.0485,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,208.732076668373
Business and Management,Associate's degree,100000,More important than salary,Equally important,Equally important,More important than salary,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.7289,Diploma,City,West,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and unemployed,682.199088484462
Business and Management,Don't know,60000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.3596,Diploma,Town,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,110.757784366318
Trades and technical,Bachelor's degree,50000,More important than salary,Equally important,Equally important,Equally important,More important than salary,Equally important,Bachelor's degree,0.9682,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,266.308385964325
STEM,More than a bachelor's degree,100000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More than a bachelor's degree,0.7353,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,479.096175850182
Healthcare,More than a bachelor's degree,50000,More important than salary,Equally important,More important than salary,Equally important,Equally important,More important than salary,Bachelor's degree,0.3257,Diploma,City,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,357.582924106764
Don't Know,Bachelor's degree,60000,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Less important than salary,Associate's degree,0.2401,Diploma,Town,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,485.601306087287
Don't Know,Some college,30000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.0594,Diploma,Suburb,West,Attained certificate,Not enrolled in postsecondary education and not in the labor force,69.7952511256873
Don't Know,More than a bachelor's degree,200000,Equally important,Equally important,More important than salary,Equally important,Equally important,Equally important,Bachelor's degree,0.3128,Diploma,City,Northeast,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,185.676193659075
Don't Know,Bachelor's degree,45000,Equally important,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,Bachelor's degree,1.085,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,575.410619583991
Don't Know,Bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.3328,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,422.729006375103
Other,Bachelor's degree,40000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.1184,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,85.2602118618338
Don't Know,More than a bachelor's degree,40000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.4689,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,228.280010628073
Healthcare,More than a bachelor's degree,100000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Equally important,Bachelor's degree,-0.682,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,28.6645972754849
Arts and entertainment,Associate's degree,50000,Less important than salary,More important than salary,More important than salary,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-0.6451,Diploma,Suburb,Northeast,Attained associate's degree,Not enrolled in postsecondary education and unemployed,219.945430489903
STEM,Bachelor's degree,95000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Bachelor's degree,0.2867,Diploma,Rural,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,96.2918001002099
Don't Know,Bachelor's degree,65000,Less important than salary,Less important than salary,Less important than salary,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.1385,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,477.153649320847
Don't Know,Bachelor's degree,70000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Some college,-0.2047,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,476.869579098841
Business and Management,More than a bachelor's degree,70000,More important than salary,Equally important,Less important than salary,Less important than salary,More important than salary,Equally important,More than a bachelor's degree,1.4509,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,221.619947472799
Don't Know,Don't know,25000,Equally important,Equally important,Equally important,More important than salary,Equally important,More important than salary,Less than high school,-1.0936,No HS credential,City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,419.082379700021
Other,More than a bachelor's degree,100000,Equally important,Equally important,More important than salary,Equally important,Equally important,Less important than salary,More than a bachelor's degree,0.7975,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,345.1955690613
Healthcare,More than a bachelor's degree,150000,More important than salary,Equally important,More important than salary,Equally important,More important than salary,Equally important,Associate's degree,0.4624,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,27.6733279154997
Business and Management,More than a bachelor's degree,50000,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,More than a bachelor's degree,0.707,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,9.48515381619793
Service,Some college,30000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Less than high school,-1.1142,Diploma,City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,317.432140225092
Other,More than a bachelor's degree,125000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.7927,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,333.316047650618
STEM,Associate's degree,40000,Equally important,Equally important,More important than salary,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.2714,Diploma,Suburb,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,84.2691929182799
Don't Know,"High school diploma, equivalent, or less",50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.014,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,275.074867759311
Education,Bachelor's degree,50000,Equally important,Less important than salary,Equally important,Less important than salary,Equally important,Less important than salary,Bachelor's degree,0.547,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,313.112971229532
Don't Know,More than a bachelor's degree,55000,Equally important,Less important than salary,More important than salary,Equally important,Less important than salary,Less important than salary,Bachelor's degree,0.7837,Diploma,City,Northeast,Attained associate's degree,Enrolled in postsecondary education and not in the labor force,123.191918289894
Healthcare,More than a bachelor's degree,75000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.8756,Diploma,Town,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,143.873302343181
Healthcare,More than a bachelor's degree,250000,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.2516,Diploma,City,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,228.616703685559
Business and Management,Bachelor's degree,65000,More important than salary,More important than salary,Less important than salary,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-1.0928,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,67.6738456069517
Service,More than a bachelor's degree,50000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Bachelor's degree,0.8942,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,359.678630639248
